,Age,Attrition,BusinessTravel,DistanceFromHome,EducationField,EnvironmentSatisfaction,JobRole,MaritalStatus,MonthlyIncome,NumCompaniesWorked,OverTime,PercentSalaryHike,StockOptionLevel,TotalWorkingYears,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
20,24,0,Non-Travel,11,Other,1,Manufacturing Director,Divorced,4011,0,No,18,1,5,4,2,1,3
21,36,1,Travel_Rarely,9,Life Sciences,3,Sales Representative,Single,3407,7,No,23,0,10,5,3,0,3
22,34,0,Travel_Rarely,7,Life Sciences,1,Research Director,Single,11994,0,No,11,0,13,12,6,2,11
23,21,0,Travel_Rarely,15,Life Sciences,3,Research Scientist,Single,1232,1,No,14,0,0,0,0,0,0
24,34,1,Travel_Rarely,6,Medical,2,Research Scientist,Single,2960,2,No,11,0,8,4,2,1,3
25,53,0,Travel_Rarely,5,Other,3,Manager,Divorced,19094,4,No,11,1,26,14,13,4,8
26,32,1,Travel_Frequently,16,Life Sciences,2,Research Scientist,Single,3919,1,Yes,22,0,10,10,2,6,7
27,42,0,Travel_Rarely,8,Marketing,3,Sales Executive,Married,6825,0,No,11,1,10,9,7,4,2
28,44,0,Travel_Rarely,7,Medical,1,Healthcare Representative,Married,10248,3,No,14,1,24,22,6,5,17
29,46,0,Travel_Rarely,2,Marketing,2,Manager,Single,18947,3,No,12,0,22,2,2,2,1
30,33,0,Travel_Rarely,2,Medical,3,Laboratory Technician,Single,2496,4,No,11,0,7,1,1,0,0
31,44,0,Travel_Rarely,10,Other,4,Healthcare Representative,Married,6465,2,Yes,13,0,9,4,2,1,3
32,30,0,Travel_Rarely,9,Medical,4,Laboratory Technician,Single,2206,1,No,13,0,10,10,0,1,8
33,39,1,Travel_Rarely,5,Technical Degree,4,Sales Representative,Married,2086,3,No,14,1,19,1,0,0,0
34,24,1,Travel_Rarely,1,Medical,2,Research Scientist,Married,2293,2,Yes,16,1,6,2,0,2,0
35,43,0,Travel_Rarely,2,Medical,4,Research Scientist,Divorced,2645,1,No,12,2,6,5,3,1,4
36,50,1,Travel_Rarely,3,Marketing,1,Sales Representative,Married,2683,1,Yes,14,0,3,3,2,0,2
37,35,0,Travel_Rarely,2,Marketing,4,Sales Representative,Married,2014,1,No,13,0,2,2,2,2,2
38,36,0,Travel_Rarely,5,Life Sciences,2,Research Scientist,Married,3419,9,Yes,14,1,6,1,1,0,0
39,33,0,Travel_Frequently,1,Life Sciences,3,Sales Executive,Married,5376,2,No,19,2,10,5,3,1,3
40,35,0,Travel_Rarely,4,Other,3,Laboratory Technician,Divorced,1951,1,No,12,1,1,1,0,0,0
41,27,0,Travel_Rarely,2,Life Sciences,4,Laboratory Technician,Divorced,2341,1,No,13,1,1,1,0,0,0
42,26,1,Travel_Rarely,25,Life Sciences,1,Laboratory Technician,Single,2293,1,No,12,0,1,1,0,0,1
43,27,0,Travel_Frequently,8,Life Sciences,4,Sales Executive,Single,8726,1,No,15,0,9,9,8,1,7
44,30,0,Travel_Frequently,1,Medical,3,Laboratory Technician,Single,4011,1,No,23,0,12,12,8,3,7
45,41,1,Travel_Rarely,12,Technical Degree,2,Research Director,Married,19545,1,No,12,0,23,22,15,15,8
46,34,0,Non-Travel,23,Marketing,2,Sales Executive,Single,4568,0,No,20,0,10,9,5,8,7
47,37,0,Travel_Rarely,19,Life Sciences,2,Research Scientist,Married,3022,4,No,21,0,8,1,0,0,0
48,46,0,Travel_Frequently,5,Marketing,1,Sales Executive,Single,5772,4,Yes,21,0,14,9,6,0,8
49,35,0,Travel_Rarely,8,Life Sciences,4,Laboratory Technician,Married,2269,1,No,19,0,1,1,0,0,1
50,48,1,Travel_Rarely,1,Life Sciences,1,Laboratory Technician,Single,5381,9,Yes,13,0,23,1,0,0,0
51,28,1,Travel_Rarely,5,Technical Degree,3,Laboratory Technician,Single,3441,1,Yes,13,0,2,2,2,2,2
52,44,0,Travel_Rarely,1,Marketing,2,Sales Executive,Divorced,5454,5,Yes,21,1,9,4,3,1,3
53,35,0,Non-Travel,11,Medical,3,Healthcare Representative,Married,9884,2,Yes,13,1,10,4,0,2,3
54,26,0,Travel_Rarely,23,Marketing,3,Sales Executive,Married,4157,7,Yes,19,1,5,2,2,0,0
55,33,0,Travel_Frequently,1,Life Sciences,1,Research Director,Single,13458,1,Yes,12,0,15,15,14,8,12
56,35,0,Travel_Frequently,18,Life Sciences,2,Sales Executive,Married,9069,1,No,22,1,9,9,8,1,8
57,35,0,Travel_Rarely,23,Medical,3,Laboratory Technician,Married,4014,3,Yes,15,1,4,2,2,2,2
58,31,0,Travel_Rarely,7,Life Sciences,4,Laboratory Technician,Divorced,5915,3,No,22,1,10,7,7,1,7
59,37,0,Travel_Rarely,1,Life Sciences,1,Manufacturing Director,Divorced,5993,1,No,18,1,7,7,5,0,7
60,32,0,Travel_Rarely,1,Medical,1,Manufacturing Director,Married,6162,1,Yes,22,1,9,9,8,7,8
61,38,0,Travel_Frequently,29,Life Sciences,4,Laboratory Technician,Single,2406,1,No,11,0,10,10,3,9,9
62,50,0,Travel_Rarely,7,Medical,2,Research Director,Divorced,18740,5,Yes,12,1,29,27,3,13,8
63,59,0,Travel_Rarely,25,Life Sciences,1,Sales Executive,Single,7637,7,No,11,0,28,21,16,7,9
64,36,0,Travel_Rarely,8,Technical Degree,3,Healthcare Representative,Divorced,10096,1,No,13,3,17,17,14,12,8
65,55,0,Travel_Rarely,8,Medical,4,Manager,Divorced,14756,2,Yes,14,3,21,5,0,0,2
66,36,0,Travel_Frequently,11,Life Sciences,2,Manufacturing Director,Single,6499,1,No,13,0,6,6,5,0,3
67,45,0,Travel_Rarely,7,Life Sciences,2,Research Scientist,Divorced,9724,2,No,17,1,25,1,0,0,0
68,35,0,Travel_Frequently,1,Medical,2,Research Scientist,Married,2194,4,No,13,1,5,3,2,1,2
69,36,1,Travel_Rarely,9,Medical,4,Research Scientist,Married,3388,0,Yes,17,1,2,1,0,0,0
70,59,0,Travel_Frequently,1,Life Sciences,1,Sales Executive,Single,5473,7,No,11,0,20,4,3,1,3
71,29,0,Travel_Rarely,2,Life Sciences,3,Research Scientist,Married,2703,0,No,23,1,6,5,4,0,4
72,31,0,Travel_Rarely,1,Medical,3,Research Scientist,Single,2501,1,No,17,0,1,1,1,1,0
73,32,0,Travel_Rarely,1,Life Sciences,2,Research Scientist,Married,6220,1,No,17,2,10,10,4,0,9
74,36,0,Travel_Rarely,6,Life Sciences,2,Laboratory Technician,Married,3038,3,No,12,0,5,1,0,0,0
75,31,0,Travel_Rarely,8,Life Sciences,3,Manufacturing Director,Single,4424,1,No,23,0,11,11,7,1,8
76,35,0,Travel_Rarely,1,Marketing,3,Sales Executive,Single,4312,0,No,14,0,16,15,13,2,8
77,45,0,Travel_Rarely,6,Other,4,Research Director,Married,13245,4,Yes,14,0,17,0,0,0,0
78,37,0,Travel_Rarely,7,Medical,1,Research Director,Single,13664,4,No,13,0,16,5,2,0,2
79,46,0,Travel_Rarely,5,Medical,2,Human Resources,Divorced,5021,8,Yes,22,1,16,4,2,0,2
80,30,0,Travel_Rarely,1,Life Sciences,4,Laboratory Technician,Married,5126,1,Yes,12,2,10,10,8,3,0
81,35,0,Travel_Rarely,1,Medical,2,Research Scientist,Single,2859,1,No,18,0,6,6,4,0,4
82,55,0,Travel_Rarely,1,Life Sciences,1,Sales Executive,Married,10239,3,No,14,1,24,1,0,1,0
83,38,0,Non-Travel,6,Medical,2,Research Scientist,Divorced,5329,7,Yes,12,3,17,13,11,1,9
84,34,0,Travel_Rarely,1,Medical,1,Manufacturing Director,Married,4325,1,No,15,0,5,5,2,1,3
85,56,0,Travel_Rarely,7,Life Sciences,4,Manufacturing Director,Single,7260,4,No,11,0,37,6,4,0,2
86,23,0,Travel_Rarely,2,Technical Degree,3,Sales Representative,Divorced,2322,3,No,13,1,3,0,0,0,0
87,51,0,Travel_Rarely,9,Life Sciences,4,Laboratory Technician,Married,2075,3,No,23,2,10,4,2,0,3
88,30,0,Travel_Rarely,2,Life Sciences,3,Healthcare Representative,Married,4152,1,No,19,3,11,11,10,10,8
89,46,1,Travel_Rarely,9,Medical,3,Sales Executive,Single,9619,1,No,16,0,9,9,8,4,7
90,40,0,Travel_Frequently,1,Life Sciences,3,Healthcare Representative,Married,13503,1,No,22,1,22,22,3,11,11
91,51,0,Travel_Rarely,21,Marketing,3,Sales Executive,Single,5441,0,Yes,22,0,11,10,7,1,0
92,30,0,Travel_Rarely,4,Medical,3,Sales Executive,Divorced,5209,1,Yes,12,3,11,11,8,2,7
93,46,0,Travel_Frequently,1,Medical,3,Healthcare Representative,Married,10673,2,Yes,13,1,21,10,9,9,5
94,32,0,Travel_Rarely,6,Medical,2,Sales Executive,Single,5010,1,No,16,0,12,11,8,5,7
95,54,0,Travel_Rarely,2,Technical Degree,1,Research Director,Married,13549,9,No,12,1,16,4,3,0,3
96,24,0,Travel_Rarely,3,Other,1,Sales Executive,Married,4999,0,No,21,1,4,3,2,0,2
97,28,0,Non-Travel,4,Medical,2,Sales Executive,Married,4221,1,No,15,0,5,5,4,0,4
98,58,0,Travel_Rarely,10,Medical,4,Sales Executive,Single,13872,0,No,13,0,38,37,10,1,8
99,44,0,Non-Travel,23,Medical,2,Laboratory Technician,Married,2042,4,No,12,1,17,3,2,1,2
100,37,1,Travel_Rarely,6,Human Resources,3,Human Resources,Divorced,2073,4,Yes,22,0,7,3,2,0,2
101,32,0,Travel_Rarely,1,Life Sciences,4,Research Scientist,Single,2956,1,No,13,0,1,1,0,0,0
102,20,1,Travel_Frequently,6,Life Sciences,4,Laboratory Technician,Single,2926,1,Yes,18,0,1,1,0,1,0
103,34,0,Travel_Rarely,6,Other,1,Research Scientist,Single,4809,1,No,14,0,16,16,13,2,10
104,37,0,Non-Travel,2,Life Sciences,3,Healthcare Representative,Divorced,5163,5,No,14,1,17,1,0,0,0
105,59,0,Non-Travel,2,Human Resources,3,Manager,Married,18844,9,No,21,1,30,3,2,2,2
106,50,0,Travel_Frequently,1,Life Sciences,1,Research Director,Married,18172,3,Yes,19,0,28,8,3,0,7
107,25,1,Travel_Rarely,5,Marketing,3,Sales Executive,Single,5744,1,Yes,11,0,6,6,4,0,3
108,25,0,Travel_Rarely,7,Medical,4,Research Scientist,Married,2889,1,No,11,2,2,2,2,2,1
109,22,0,Travel_Rarely,15,Medical,2,Laboratory Technician,Single,2871,1,No,15,0,1,0,0,0,0
110,51,0,Travel_Frequently,1,Medical,1,Healthcare Representative,Single,7484,3,No,20,0,23,13,12,12,8
111,34,1,Travel_Frequently,7,Life Sciences,1,Laboratory Technician,Single,6074,1,Yes,24,0,9,9,7,0,6
112,54,0,Non-Travel,26,Human Resources,4,Manager,Single,17328,2,Yes,12,0,23,5,3,4,4
113,24,0,Travel_Rarely,18,Life Sciences,2,Laboratory Technician,Married,2774,0,No,12,1,6,5,3,1,2
114,34,0,Travel_Rarely,6,Life Sciences,3,Research Scientist,Divorced,4505,6,No,15,1,12,1,0,0,0
115,37,0,Travel_Rarely,3,Life Sciences,3,Sales Executive,Single,7428,2,No,12,0,12,5,3,1,3
116,34,0,Travel_Rarely,5,Medical,3,Manager,Single,11631,2,No,12,0,14,11,10,5,8
117,36,0,Travel_Frequently,11,Technical Degree,2,Sales Executive,Married,9738,0,No,14,1,10,9,7,2,8
118,36,0,Travel_Rarely,3,Life Sciences,1,Laboratory Technician,Divorced,2835,5,No,22,1,7,1,0,0,0
119,43,0,Travel_Frequently,26,Life Sciences,3,Manager,Married,16959,1,Yes,12,2,25,25,12,4,12
120,30,0,Travel_Frequently,23,Life Sciences,1,Research Scientist,Divorced,2613,1,No,25,3,10,10,7,0,9
121,33,0,Non-Travel,22,Marketing,3,Sales Executive,Married,6146,0,No,13,1,8,7,7,0,7
122,56,1,Travel_Rarely,14,Life Sciences,2,Research Scientist,Married,4963,9,Yes,18,3,7,5,4,4,3
123,51,0,Travel_Rarely,6,Life Sciences,1,Research Director,Single,19537,7,No,13,0,23,20,18,15,15
124,31,1,Travel_Rarely,6,Life Sciences,2,Sales Executive,Married,6172,4,Yes,18,0,12,7,7,7,7
125,26,0,Travel_Rarely,6,Other,3,Research Scientist,Married,2368,1,No,19,0,5,5,4,4,3
126,58,1,Travel_Rarely,23,Medical,4,Healthcare Representative,Married,10312,1,No,12,1,40,40,10,15,6
127,19,1,Travel_Rarely,22,Marketing,4,Sales Representative,Single,1675,1,Yes,19,0,0,0,0,0,0
128,22,0,Travel_Rarely,2,Technical Degree,3,Laboratory Technician,Married,2523,0,No,14,1,3,2,1,2,1
129,49,0,Travel_Rarely,20,Medical,3,Manufacturing Director,Married,6567,1,No,14,0,16,15,11,5,11
130,43,0,Travel_Frequently,28,Medical,2,Research Scientist,Single,4739,4,No,12,0,18,3,2,1,2
131,50,0,Travel_Frequently,12,Marketing,3,Sales Executive,Single,9208,4,No,11,0,16,2,2,2,1
132,31,1,Travel_Rarely,20,Life Sciences,2,Sales Executive,Married,4559,3,Yes,11,1,4,2,2,2,2
133,41,0,Travel_Rarely,9,Life Sciences,3,Sales Executive,Divorced,8189,3,Yes,13,1,12,9,7,0,7
134,26,0,Travel_Rarely,25,Life Sciences,3,Human Resources,Married,2942,1,No,23,1,8,8,7,5,7
135,36,0,Travel_Rarely,6,Medical,2,Manufacturing Director,Divorced,4941,6,No,20,2,7,3,2,0,1
136,51,1,Travel_Frequently,8,Life Sciences,1,Manufacturing Director,Single,10650,2,No,15,0,18,4,2,0,3
137,39,0,Travel_Rarely,4,Life Sciences,4,Sales Executive,Married,5902,4,No,14,1,17,15,11,5,9
138,25,0,Travel_Rarely,28,Life Sciences,1,Sales Executive,Married,8639,2,No,18,0,6,2,2,2,2
139,30,0,Travel_Rarely,9,Human Resources,3,Human Resources,Married,6347,0,Yes,19,0,12,11,9,4,7
140,32,1,Travel_Rarely,9,Medical,1,Laboratory Technician,Single,4200,7,No,22,0,10,5,4,0,4
141,45,0,Travel_Rarely,29,Medical,3,Research Scientist,Single,3452,5,No,13,0,9,6,5,0,3
142,38,0,Travel_Rarely,3,Technical Degree,4,Research Scientist,Single,4317,3,Yes,20,0,19,3,2,2,2
143,30,0,Travel_Rarely,18,Life Sciences,1,Research Scientist,Single,2632,1,No,14,0,5,5,4,0,4
144,32,0,Travel_Frequently,9,Medical,4,Sales Executive,Divorced,4668,0,No,17,3,9,8,7,0,7
145,30,0,Travel_Rarely,5,Technical Degree,4,Research Scientist,Divorced,3204,5,No,14,1,8,3,2,2,2
146,30,0,Travel_Rarely,2,Medical,2,Laboratory Technician,Single,2720,0,No,13,0,6,5,3,1,2
147,41,0,Travel_Frequently,10,Life Sciences,4,Manager,Divorced,17181,4,No,13,1,21,7,6,7,7
148,41,0,Travel_Rarely,9,Life Sciences,3,Laboratory Technician,Married,2238,2,No,21,1,7,5,0,1,4
149,19,0,Travel_Rarely,3,Medical,2,Laboratory Technician,Single,1483,1,No,14,0,1,1,0,0,0
150,40,0,Travel_Frequently,26,Medical,2,Research Scientist,Divorced,5605,1,No,11,1,20,20,7,2,13
151,35,0,Travel_Rarely,1,Marketing,3,Sales Executive,Married,7295,1,No,13,2,10,10,8,0,6
152,53,0,Travel_Rarely,6,Marketing,2,Sales Representative,Married,2306,2,Yes,20,1,13,7,7,4,5
153,45,0,Travel_Rarely,9,Life Sciences,2,Laboratory Technician,Divorced,2348,8,No,18,1,20,17,9,0,15
154,32,0,Travel_Frequently,8,Marketing,2,Sales Executive,Single,8998,1,No,14,0,9,9,8,3,7
155,29,0,Non-Travel,1,Technical Degree,4,Manufacturing Director,Married,4319,1,No,13,1,10,10,7,0,9
156,51,0,Travel_Rarely,7,Medical,2,Manufacturing Director,Married,6132,2,No,17,0,10,1,0,0,0
157,58,0,Travel_Rarely,9,Medical,2,Research Scientist,Married,3346,4,Yes,20,1,9,1,0,0,0
158,40,0,Travel_Rarely,4,Marketing,3,Sales Executive,Married,10855,7,No,11,1,15,12,11,2,11
159,34,0,Travel_Frequently,2,Marketing,3,Sales Representative,Married,2231,6,No,18,1,6,4,3,1,2
160,22,0,Travel_Rarely,19,Medical,3,Research Scientist,Married,2323,1,No,24,2,2,2,2,2,2
161,27,0,Non-Travel,9,Medical,4,Research Scientist,Divorced,2024,6,No,18,1,6,2,2,2,2
162,28,0,Travel_Rarely,21,Medical,3,Research Scientist,Married,2713,1,No,11,1,5,5,2,0,2
163,57,0,Travel_Rarely,24,Life Sciences,3,Healthcare Representative,Divorced,9439,3,Yes,16,1,12,5,3,1,4
164,27,0,Non-Travel,3,Medical,3,Research Scientist,Divorced,2566,1,Yes,15,1,1,1,1,0,1
165,50,0,Travel_Rarely,11,Life Sciences,3,Manager,Single,19926,3,No,15,0,21,5,4,4,4
166,41,0,Travel_Rarely,14,Life Sciences,1,Research Scientist,Divorced,2451,4,No,12,1,13,9,8,1,8
167,30,0,Travel_Rarely,5,Life Sciences,2,Sales Executive,Married,9419,2,No,12,1,12,10,9,7,4
168,38,0,Travel_Rarely,1,Life Sciences,1,Sales Executive,Single,8686,4,No,22,0,12,8,3,0,7
169,32,0,Travel_Rarely,6,Life Sciences,3,Research Scientist,Single,3038,3,No,20,0,8,5,4,1,4
170,27,0,Travel_Rarely,17,Technical Degree,3,Research Scientist,Married,3058,0,Yes,16,1,6,5,2,1,1
171,19,1,Travel_Frequently,1,Technical Degree,3,Sales Representative,Single,2325,0,No,21,0,1,0,0,0,0
172,36,0,Travel_Frequently,3,Medical,4,Laboratory Technician,Single,2088,4,No,12,0,13,8,7,7,2
173,30,0,Non-Travel,9,Medical,3,Laboratory Technician,Divorced,3072,1,No,11,2,12,12,9,6,10
174,45,0,Travel_Rarely,4,Life Sciences,3,Sales Executive,Divorced,5006,4,Yes,11,1,9,5,4,0,3
175,56,0,Travel_Rarely,8,Life Sciences,3,Research Scientist,Divorced,4257,4,Yes,18,1,19,2,2,2,2
176,33,0,Travel_Rarely,2,Life Sciences,3,Research Scientist,Single,2500,0,No,14,0,4,3,1,0,2
177,19,1,Travel_Rarely,2,Life Sciences,2,Laboratory Technician,Single,1102,1,No,22,0,1,1,0,1,0
178,46,0,Travel_Rarely,1,Marketing,2,Sales Executive,Divorced,10453,1,No,25,3,24,24,13,15,7
179,38,0,Travel_Rarely,9,Life Sciences,3,Laboratory Technician,Single,2288,1,No,12,0,2,2,2,2,1
180,31,0,Travel_Rarely,12,Medical,3,Research Scientist,Married,3929,8,Yes,23,1,7,4,2,0,2
181,34,0,Travel_Rarely,27,Medical,4,Research Scientist,Single,2311,2,No,15,0,9,3,2,1,2
182,41,1,Travel_Rarely,20,Marketing,2,Sales Representative,Single,3140,1,Yes,22,0,4,4,3,0,2
183,50,0,Travel_Rarely,1,Medical,3,Laboratory Technician,Married,3690,2,No,15,1,5,3,2,0,2
184,53,0,Travel_Rarely,13,Medical,4,Manufacturing Director,Divorced,4450,1,No,11,2,5,4,2,1,3
185,33,0,Travel_Rarely,14,Medical,4,Research Scientist,Married,2756,1,No,13,1,8,8,7,1,6
186,40,0,Travel_Rarely,4,Medical,4,Manager,Married,19033,1,No,14,1,21,20,8,9,9
187,55,0,Travel_Rarely,14,Medical,3,Research Director,Single,18722,8,No,11,0,36,24,15,2,15
188,34,0,Travel_Frequently,2,Life Sciences,4,Manufacturing Director,Married,9547,1,No,17,0,10,10,9,1,9
189,51,0,Travel_Rarely,3,Medical,4,Healthcare Representative,Single,13734,3,No,18,0,21,7,7,1,0
190,52,0,Travel_Rarely,1,Life Sciences,3,Manager,Married,19999,0,No,14,1,34,33,18,11,9
191,27,0,Travel_Rarely,9,Medical,4,Research Scientist,Single,2279,1,No,16,0,7,7,7,0,3
192,35,1,Travel_Rarely,23,Life Sciences,2,Manufacturing Director,Married,5916,3,Yes,13,0,8,1,0,0,1
193,43,0,Non-Travel,7,Medical,4,Research Scientist,Divorced,2089,4,No,14,3,7,5,4,2,2
194,45,0,Non-Travel,2,Medical,1,Manager,Married,16792,9,No,23,1,22,20,8,11,8
195,37,0,Travel_Rarely,21,Life Sciences,2,Research Scientist,Married,3564,1,Yes,12,1,8,8,7,1,7
196,35,0,Travel_Frequently,2,Medical,2,Laboratory Technician,Single,4425,5,No,11,0,10,6,2,1,2
197,42,0,Non-Travel,21,Medical,3,Manufacturing Director,Divorced,5265,2,No,16,1,11,5,3,0,2
198,38,0,Travel_Rarely,2,Life Sciences,4,Manufacturing Director,Married,6553,9,No,14,0,14,1,0,0,0
199,38,0,Travel_Rarely,29,Technical Degree,4,Manufacturing Director,Married,6261,3,No,18,1,9,7,7,1,7
200,27,0,Travel_Frequently,1,Technical Degree,3,Manufacturing Director,Married,4298,5,No,19,1,6,2,2,2,0
201,49,0,Non-Travel,18,Life Sciences,4,Manufacturing Director,Divorced,6804,1,Yes,15,2,7,7,7,1,7
202,34,0,Travel_Frequently,10,Medical,4,Research Scientist,Divorced,3815,1,Yes,17,1,5,5,3,2,0
203,40,0,Travel_Rarely,19,Medical,3,Laboratory Technician,Married,2741,8,Yes,15,1,15,7,2,3,7
204,38,1,Travel_Rarely,29,Medical,2,Healthcare Representative,Married,6673,7,Yes,19,0,17,1,0,0,0
205,29,1,Travel_Rarely,27,Marketing,2,Sales Executive,Married,7639,1,No,22,3,10,10,4,1,9
206,22,0,Travel_Rarely,5,Life Sciences,4,Research Scientist,Divorced,2328,1,Yes,16,1,4,4,2,2,2
207,36,0,Travel_Frequently,18,Medical,2,Laboratory Technician,Single,2153,1,No,13,0,8,8,1,1,7
208,40,0,Non-Travel,9,Life Sciences,4,Healthcare Representative,Married,4876,9,No,14,1,5,3,2,0,2
209,46,0,Travel_Rarely,1,Medical,4,Healthcare Representative,Divorced,9396,7,No,16,1,17,4,2,0,3
210,32,1,Travel_Rarely,4,Medical,4,Sales Executive,Married,10400,1,No,11,0,14,14,8,9,8
211,30,0,Non-Travel,1,Life Sciences,3,Manufacturing Director,Single,8474,1,No,22,0,12,11,8,5,8
212,27,0,Travel_Frequently,20,Life Sciences,4,Sales Executive,Single,9981,1,No,14,0,7,7,7,0,7
213,51,0,Travel_Rarely,8,Life Sciences,2,Research Director,Married,12490,5,No,16,2,16,10,9,4,7
214,30,1,Travel_Rarely,3,Technical Degree,4,Research Scientist,Single,2657,5,Yes,11,0,8,5,2,0,4
215,41,0,Travel_Rarely,6,Life Sciences,4,Manager,Single,13591,3,Yes,18,0,16,1,0,0,0
216,30,1,Travel_Frequently,26,Marketing,3,Sales Executive,Single,6696,5,No,15,0,9,6,3,0,1
217,29,1,Travel_Rarely,1,Technical Degree,3,Research Scientist,Single,2058,0,No,14,0,7,6,2,1,5
218,45,0,Non-Travel,6,Medical,4,Sales Executive,Single,8865,6,No,12,0,23,19,7,12,8
219,54,0,Travel_Rarely,3,Marketing,4,Sales Executive,Married,5940,2,No,14,1,16,6,2,0,5
220,36,0,Travel_Rarely,5,Life Sciences,4,Laboratory Technician,Single,5914,8,No,16,0,16,13,11,3,7
221,33,0,Travel_Rarely,4,Medical,3,Research Scientist,Married,2622,6,No,21,0,7,3,2,1,1
222,37,0,Travel_Frequently,11,Other,2,Research Director,Divorced,12185,1,Yes,14,3,10,10,8,0,7
223,38,0,Travel_Rarely,3,Life Sciences,1,Sales Executive,Divorced,10609,0,No,12,2,17,16,10,5,13
224,31,0,Non-Travel,1,Medical,3,Manufacturing Director,Married,4345,0,No,12,1,6,5,4,1,4
225,59,0,Travel_Rarely,3,Life Sciences,3,Research Scientist,Married,2177,3,No,17,1,7,1,0,0,0
226,37,0,Travel_Frequently,4,Marketing,1,Sales Representative,Divorced,2793,4,No,17,1,13,9,8,5,8
227,29,0,Travel_Frequently,1,Medical,2,Sales Executive,Married,7918,1,No,14,1,11,11,10,4,1
228,35,0,Travel_Frequently,1,Marketing,3,Sales Executive,Single,8789,1,No,14,0,10,10,7,0,8
229,29,1,Travel_Rarely,18,Medical,3,Research Scientist,Single,2389,1,Yes,13,0,4,4,3,0,1
230,52,0,Travel_Rarely,2,Life Sciences,3,Laboratory Technician,Single,3212,7,No,15,0,6,2,2,2,2
231,42,0,Travel_Rarely,4,Technical Degree,3,Manager,Married,19232,1,No,11,0,22,22,17,11,15
232,59,0,Travel_Rarely,6,Medical,2,Human Resources,Married,2267,8,No,17,0,7,2,2,2,2
233,50,0,Travel_Rarely,1,Medical,4,Manager,Divorced,19517,3,No,11,1,32,7,0,0,6
234,33,1,Travel_Rarely,14,Medical,3,Laboratory Technician,Married,2436,5,Yes,13,1,8,5,4,0,4
235,43,0,Travel_Rarely,16,Marketing,4,Manager,Married,16064,5,Yes,22,1,22,17,13,1,9
236,33,1,Travel_Rarely,2,Life Sciences,1,Laboratory Technician,Married,2707,7,No,20,0,13,9,7,1,7
237,52,0,Non-Travel,2,Life Sciences,1,Manager,Single,19068,1,Yes,18,0,33,33,7,15,12
238,32,0,Travel_Rarely,4,Life Sciences,3,Sales Representative,Married,3931,2,No,11,1,6,4,3,1,2
239,32,1,Travel_Rarely,1,Life Sciences,4,Laboratory Technician,Single,3730,0,Yes,14,0,4,3,2,1,2
